tstamp	latitude	longitude	direction	speed	trip_id	trip_id	max	min	max	min	distance
2020-10-13 18:09:00	45.718047	-122.552493	0	40.26492	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:09:05	45.718903	-122.55248	1	42.50186	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:09:11	45.720015	-122.552463	1	44.7388	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:09:16	45.720982	-122.552452	0	46.97574	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:09:20	45.721765	-122.552442	1	46.97574	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:09:26	45.722958	-122.552427	1	49.21268	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:09:31	45.723962	-122.552412	1	49.21268	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:09:36	45.724967	-122.5524	0	49.21268	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:09:41	45.725967	-122.552388	0	49.21268	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:09:46	45.726982	-122.552372	1	49.21268	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:09:51	45.727992	-122.55236	0	49.21268	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:09:56	45.728922	-122.552317	2	44.7388	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:10:01	45.72979	-122.552202	5	42.50186	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:10:06	45.730568	-122.552018	9	38.02798	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:10:11	45.731243	-122.55187	9	31.31716	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:10:16	45.731752	-122.551768	8	22.3694	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:10:20	45.731983	-122.551722	8	11.1847	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:10:26	45.731995	-122.55172	6	0	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:10:31	45.732177	-122.551688	7	11.1847	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:10:36	45.732683	-122.551602	7	26.84328	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:10:40	45.733398	-122.55151	5	44.7388	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:10:45	45.734265	-122.55146	2	42.50186	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:10:50	45.735258	-122.55142	2	49.21268	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:10:55	45.73637	-122.55142	0	53.68656	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:11:00	45.737527	-122.551443	359	55.9235	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:11:05	45.738695	-122.551465	359	55.9235	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:11:10	45.73986	-122.551483	359	55.9235	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:11:15	45.741027	-122.551502	359	55.9235	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:11:20	45.74214	-122.551517	359	53.68656	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:11:25	45.743205	-122.551535	359	51.44962	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:11:30	45.744202	-122.551548	359	46.97574	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:11:35	45.745205	-122.551457	4	49.21268	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:11:40	45.74621	-122.551185	11	49.21268	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:11:45	45.747155	-122.550752	18	46.97574	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:11:50	45.74807	-122.550147	25	49.21268	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:11:55	45.74893	-122.549482	28	46.97574	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:12:00	45.749733	-122.548865	28	42.50186	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:12:05	45.750378	-122.548388	27	33.5541	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:12:10	45.75087	-122.548063	25	24.60634	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:12:15	45.751277	-122.54784	21	20.13246	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:12:20	45.751842	-122.547592	17	29.08022	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:12:25	45.752508	-122.547382	12	33.5541	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:12:30	45.753238	-122.54724	8	35.79104	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:12:35	45.75406	-122.547185	3	40.26492	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:12:40	45.754962	-122.547193	0	44.7388	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:12:45	45.755898	-122.547203	0	44.7388	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
